order,id,date,time,title,url,visitCount,typedCount,transition
62,2201,6/6/2025,17:00:34,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic/consumer-groups,1,0,link
63,2200,6/6/2025,16:59:58,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic/messages?keySerde=String&valueSerde=String&limit=100,3,0,link
64,2199,6/6/2025,16:59:58,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic/messages?filterQueryType=STRING_CONTAINS&attempt=1&limit=100&page=0&seekDirection=FORWARD&seekType=BEGINNING,6,0,link
65,2199,6/6/2025,16:59:58,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic/messages?filterQueryType=STRING_CONTAINS&attempt=1&limit=100&page=0&seekDirection=FORWARD&seekType=BEGINNING,6,0,link
66,2198,6/6/2025,16:59:58,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic/messages,3,0,link
67,2197,6/6/2025,16:59:54,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic,3,0,link
68,2195,6/6/2025,16:54:54,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics?perPage=25,6,0,link
69,2197,6/6/2025,16:54:48,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics/test-topic,3,0,link
70,2195,6/6/2025,16:51:44,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics?perPage=25,6,0,link
71,2194,6/6/2025,16:51:44,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics,5,0,link
72,2196,6/6/2025,16:51:41,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/consumer-groups,1,0,link
73,2195,6/6/2025,16:51:38,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics?perPage=25,6,0,link
74,2194,6/6/2025,16:51:37,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/all-topics,5,0,link
75,2193,6/6/2025,16:51:35,UI for Apache Kafka,http://localhost:8080/ui/clusters/local/brokers,2,0,link
76,2192,6/6/2025,16:51:31,Redpanda Console,http://localhost:8080/,4,0,reload
77,69,6/6/2025,16:50:59,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
78,237,6/6/2025,16:50:58,STERNENKO,https://web.telegram.org/a/#-1001220606936,10,0,link
79,454,6/6/2025,16:50:21,✙Resurgam✙,https://web.telegram.org/a/#-1001649643327,5,0,link
80,122,6/6/2025,16:49:32,NEXTA Live,https://web.telegram.org/a/#-1001413275904,37,0,link
81,237,6/6/2025,16:49:12,STERNENKO,https://web.telegram.org/a/#-1001220606936,10,0,link
82,69,6/6/2025,16:49:06,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
83,70,6/6/2025,16:49:01,✙ 🔼Вертикаль,https://web.telegram.org/a/#-1001234886121,31,0,link
84,2191,6/6/2025,16:30:24,Setting Up a Kafka Cluster Using Docker Compose(Kraft Mode): A Step-by-Step Guide | by Darshak Kachchhi | Medium,https://medium.com/@darshak.kachchhi/setting-up-a-kafka-cluster-using-docker-compose-a-step-by-step-guide-a1ee5972b122,1,0,link
85,2190,6/6/2025,16:30:24,Setting Up a Kafka Cluster Using Docker Compose(Kraft Mode): A Step-by-Step Guide | by Darshak Kachchhi | Medium,https://medium.com/@darshak.kachchhi/setting-up-a-kafka-cluster-using-docker-compose-a-step-by-step-guide-a1ee5972b122#:~:text=Conclusion.%20You%20now%20have%20a%20production%2Dready%20Kafka%20cluster%20running%20in%20Docker%20with:&text=This%20setup%20provides%20a%20solid%20foundation%20for%20building%20scalable%20streaming,1,0,link
86,2189,6/6/2025,16:30:14,Setting Up a Local Kafka Cluster with Multiple Brokers Using Docker Compose - Google Search,https://www.google.com/search?q=Setting+Up+a+Local+Kafka+Cluster+with+Multiple+Brokers+Using+Docker+Compose&sourceid=chrome&ie=UTF-8,1,0,link
87,2155,6/6/2025,15:59:00,Kafka Consumer Group Partition Assignment - Grok,https://grok.com/chat/3638b97d-7988-426c-8e4a-a449c8e556bc,2,0,reload
88,2187,6/6/2025,15:51:00,wurstmeister/kafka - Docker Image | Docker Hub,https://hub.docker.com/r/wurstmeister/kafka,2,0,auto_toplevel
89,2188,6/6/2025,15:50:54,wurstmeister | Docker Hub,https://hub.docker.com/u/wurstmeister,1,0,link
90,2187,6/6/2025,15:50:39,wurstmeister/kafka - Docker Image | Docker Hub,https://hub.docker.com/r/wurstmeister/kafka,2,0,auto_toplevel
91,1384,6/6/2025,15:33:43,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,5,0,link
92,2186,6/6/2025,15:30:30,windows - How to make sure that a certain Port is not occupied by any other process - Stack Overflow,https://stackoverflow.com/questions/8817500/how-to-make-sure-that-a-certain-port-is-not-occupied-by-any-other-process,1,0,link
93,2184,6/6/2025,15:30:24,find either specific port busy windows 11 - Google Search,https://www.google.com/search?num=10&sca_esv=87b41ab4477c98ab&sxsrf=AE3TifN6KjhqfP1yVJCxJ9bkpi2KxVT2Zg:1749212998419&q=find+either+specific+port+busy+windows+11&spell=1&sa=X&ved=2ahUKEwij16Cb5tyNAxXj-AIHHZcoNg0QBSgAegQIDhAB&biw=1536&bih=730&dpr=1.25,2,0,link
94,2185,6/6/2025,15:30:04,Determining if a port is in use by an application or process on a virtual machine,https://knowledge.broadcom.com/external/article?articleNumber=308682,1,0,link
95,2184,6/6/2025,15:30:02,find either specific port busy windows 11 - Google Search,https://www.google.com/search?num=10&sca_esv=87b41ab4477c98ab&sxsrf=AE3TifN6KjhqfP1yVJCxJ9bkpi2KxVT2Zg:1749212998419&q=find+either+specific+port+busy+windows+11&spell=1&sa=X&ved=2ahUKEwij16Cb5tyNAxXj-AIHHZcoNg0QBSgAegQIDhAB&biw=1536&bih=730&dpr=1.25,2,0,link
96,2183,6/6/2025,15:30:00,find eather specific port busy windows 11 - Google Search,https://www.google.com/search?q=find+eather+specific+port+busy+windows+11&oq=find+eather+specific+port+busy+windows+11&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIKCAEQABiABBiiBDIHCAIQABjvBTIHCAMQABjvBTIHCAQQABjvBTIHCAUQABjvBdIBCTE4MDIxajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,1,0,generated
97,2182,6/6/2025,14:53:18,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk/chat/messages,2,0,link
98,2181,6/6/2025,14:53:17,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk/chat,2,0,link
99,2180,6/6/2025,14:52:16,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk,2,0,link
100,2182,6/6/2025,14:52:00,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk/chat/messages,2,0,link
101,2181,6/6/2025,14:51:59,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk/chat,2,0,link
102,2180,6/6/2025,14:51:22,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/uk,2,0,link
103,2179,6/6/2025,14:51:22,"Трекінг Нова пошта - відстежити посилку, відслідковувати ТТН",https://tracking.novaposhta.ua/#/,1,0,link
104,2178,6/6/2025,14:51:21,Керуйте доставкою посилок Нової пошти,https://tracking.novaposhta.ua/,1,0,link
